product_id,product_name,category,warehouse_id,warehouse_name,supplier_name,lead_time_days,avg_daily_demand,std_daily_demand,recommended_safety_stock,recommended_reorder_point,stock_on_hand,gap_vs_recommended_rop
P011,A4 Notebook Pack,Electronics,W2,South DC,Harbor & Co,18,13.426229508196721,7.969648709099296,56.0,298.0,24,274.0
P019,Wool Socks (3-pack),Apparel,W3,East DC,Pacific Sourcing Ltd,15,17.244444444444444,9.777421940265226,62.0,321.0,60,261.0
P004,LED Desk Lamp,Apparel,W3,East DC,Harbor & Co,19,15.071428571428571,7.394978991566796,53.0,339.0,78,261.0
P002,USB-C Hub,Home & Kitchen,W2,South DC,Meridian Wholesale,19,12.912280701754385,8.46480254970627,61.0,306.0,47,259.0
P010,Blender,Tools,W2,South DC,Meridian Wholesale,17,14.24,8.3239511810982,57.0,299.0,41,258.0
P013,Sticky Notes,Office Supplies,W3,East DC,Meridian Wholesale,18,15.938775510204081,8.239660599971401,58.0,345.0,91,254.0
P008,Ceramic Mug Set,Office Supplies,W4,West DC,Meridian Wholesale,15,14.107142857142858,8.92326595617744,57.0,269.0,16,253.0
P002,USB-C Hub,Home & Kitchen,W3,East DC,Meridian Wholesale,19,14.89795918367347,9.007508206026383,65.0,348.0,96,252.0
P003,Bluetooth Speaker,Office Supplies,W3,East DC,Global Parts Co,17,14.65,9.65706862142826,66.0,315.0,73,242.0
P013,Sticky Notes,Office Supplies,W4,West DC,Meridian Wholesale,18,13.203703703703704,7.015830158734777,49.0,287.0,64,223.0
P015,Stapler,Tools,W3,East DC,Pacific Sourcing Ltd,17,14.617647058823529,7.769461218722538,53.0,302.0,80,222.0
P012,Gel Pens (12-pack),Home & Kitchen,W3,East DC,Pacific Sourcing Ltd,19,12.526315789473685,7.471625523935524,54.0,292.0,77,215.0
P010,Blender,Tools,W3,East DC,Meridian Wholesale,17,13.62,7.750944642889849,53.0,285.0,72,213.0
P015,Stapler,Tools,W2,South DC,Pacific Sourcing Ltd,17,12.4375,7.316278120186172,50.0,261.0,52,209.0
P025,Screwdriver Set,Tools,W3,East DC,Harbor & Co,18,13.923076923076923,6.4833002786983975,45.0,296.0,87,209.0
