product_id,warehouse_id,stock_on_hand,reorder_point,safety_stock
P001,W1,107,107,28
P001,W2,282,273,78
P001,W3,304,145,39
P001,W4,257,185,34
P002,W1,65,38,8
P002,W2,47,67,10
P002,W3,96,87,23
P002,W4,168,142,31
P003,W1,460,316,71
P003,W2,132,48,11
P003,W3,73,315,75
P003,W4,110,101,20
P004,W1,289,158,22
P004,W2,238,305,48
P004,W3,78,62,14
P004,W4,501,280,68
P005,W1,224,275,54
P005,W2,159,179,39
P005,W3,441,250,53
P005,W4,136,107,26
P006,W1,313,292,52
P006,W2,235,170,49
P006,W3,334,270,75
P006,W4,246,175,35
P007,W1,349,231,46
P007,W2,173,252,46
P007,W3,203,94,15
P007,W4,140,69,12
P008,W1,212,249,50
P008,W2,337,260,82
P008,W3,108,54,9
P008,W4,16,59,16
P009,W1,133,193,47
P009,W2,161,92,24
P009,W3,258,244,40
P009,W4,188,120,26
P010,W1,289,304,60
P010,W2,41,30,7
P010,W3,72,51,9
P010,W4,283,325,78
P011,W1,282,281,60
P011,W2,24,26,4
P011,W3,325,267,48
P011,W4,558,232,61
P012,W1,296,159,30
P012,W2,146,258,66
P012,W3,77,103,18
P012,W4,199,279,43
P013,W1,435,201,33
P013,W2,194,115,19
P013,W3,91,74,14
P013,W4,64,55,8
P014,W1,112,73,11
P014,W2,351,238,48
P014,W3,185,197,52
P014,W4,94,35,6
P015,W1,149,100,24
P015,W2,52,37,8
P015,W3,80,56,15
P015,W4,500,284,47
P016,W1,158,149,94
P016,W2,131,114,66
P016,W3,37,27,15
P016,W4,135,115,63
P017,W1,232,209,40
P017,W2,361,167,36
P017,W3,148,131,27
P017,W4,161,143,36
P018,W1,392,181,95
P018,W2,136,63,29
P018,W3,142,124,63
P018,W4,179,100,41
P019,W1,96,80,22
P019,W2,389,176,32
P019,W3,60,48,15
P019,W4,626,305,89
P020,W1,87,110,74
P020,W2,36,38,24
P020,W3,120,64,35
P020,W4,103,71,44
P021,W1,472,224,72
P021,W2,295,185,63
P021,W3,63,43,9
P021,W4,223,131,42
P022,W1,172,122,37
P022,W2,114,93,21
P022,W3,107,60,12
P022,W4,283,139,32
P023,W1,278,199,59
P023,W2,310,158,35
P023,W3,397,252,75
P023,W4,83,279,72
P024,W1,171,127,53
P024,W2,70,105,46
P024,W3,142,94,35
P024,W4,116,196,85
P025,W1,389,366,97
P025,W2,373,273,44
P025,W3,87,56,15
P025,W4,132,95,16
