product_id,product_name,category,warehouse_id,warehouse_name,supplier_name,lead_time_days,avg_daily_demand,std_daily_demand,recommended_safety_stock,recommended_reorder_point
P002,USB-C Hub,Home & Kitchen,W3,East DC,Meridian Wholesale,19,14.89795918367347,9.007508206026383,65.0,348.0
P013,Sticky Notes,Office Supplies,W3,East DC,Meridian Wholesale,18,15.938775510204081,8.239660599971401,58.0,345.0
P025,Screwdriver Set,Tools,W1,North DC,Harbor & Co,18,15.380952380952381,9.50115200388467,67.0,344.0
P009,Electric Kettle,Apparel,W2,South DC,Global Parts Co,18,15.311475409836065,9.184299979868829,64.0,340.0
P004,LED Desk Lamp,Apparel,W3,East DC,Harbor & Co,19,15.071428571428571,7.394978991566796,53.0,339.0
P002,USB-C Hub,Home & Kitchen,W4,West DC,Meridian Wholesale,19,14.34,8.920533524814923,64.0,336.0
P004,LED Desk Lamp,Apparel,W1,North DC,Harbor & Co,19,14.6,7.362567990002361,53.0,330.0
P007,Non-Stick Frying Pan,Home & Kitchen,W2,South DC,Meridian Wholesale,18,15.116279069767442,7.4776151734473855,52.0,324.0
P019,Wool Socks (3-pack),Apparel,W3,East DC,Pacific Sourcing Ltd,15,17.244444444444444,9.777421940265226,62.0,321.0
P012,Gel Pens (12-pack),Home & Kitchen,W2,South DC,Pacific Sourcing Ltd,19,13.903846153846153,7.799596810556288,56.0,320.0
P003,Bluetooth Speaker,Office Supplies,W1,North DC,Global Parts Co,17,14.84,9.65393015030349,66.0,318.0
P006,Stainless Steel Water Bottle,Electronics,W1,North DC,Crestpoint Industries,17,15.615384615384615,7.664928650791178,52.0,317.0
P015,Stapler,Tools,W1,North DC,Pacific Sourcing Ltd,17,15.211538461538462,8.462921524153577,58.0,317.0
P011,A4 Notebook Pack,Electronics,W4,West DC,Harbor & Co,18,14.058823529411764,9.104749891580509,64.0,317.0
P012,Gel Pens (12-pack),Home & Kitchen,W4,West DC,Pacific Sourcing Ltd,19,13.745454545454546,7.700933521617824,55.0,316.0
P014,Desk Organizer,Apparel,W1,North DC,Global Parts Co,18,13.701754385964913,9.884990267140054,69.0,316.0
P006,Stainless Steel Water Bottle,Electronics,W3,East DC,Crestpoint Industries,17,14.631578947368421,9.696522902101426,66.0,315.0
P003,Bluetooth Speaker,Office Supplies,W3,East DC,Global Parts Co,17,14.65,9.65706862142826,66.0,315.0
P009,Electric Kettle,Apparel,W4,West DC,Global Parts Co,18,14.074074074074074,8.654482646652077,61.0,314.0
P025,Screwdriver Set,Tools,W2,South DC,Harbor & Co,18,13.541666666666666,9.782655805553471,68.0,312.0
P012,Gel Pens (12-pack),Home & Kitchen,W1,North DC,Pacific Sourcing Ltd,19,13.30188679245283,7.887636151843,57.0,310.0
P025,Screwdriver Set,Tools,W4,West DC,Harbor & Co,18,14.209302325581396,7.462790680419517,52.0,308.0
P010,Blender,Tools,W1,North DC,Meridian Wholesale,17,15.378378378378379,6.722067106641097,46.0,307.0
P002,USB-C Hub,Home & Kitchen,W2,South DC,Meridian Wholesale,19,12.912280701754385,8.46480254970627,61.0,306.0
P004,LED Desk Lamp,Apparel,W2,South DC,Harbor & Co,19,13.117647058823529,7.380100429732728,53.0,302.0
P015,Stapler,Tools,W3,East DC,Pacific Sourcing Ltd,17,14.617647058823529,7.769461218722538,53.0,302.0
P009,Electric Kettle,Apparel,W1,North DC,Global Parts Co,18,13.791666666666666,7.508741950137777,53.0,301.0
P014,Desk Organizer,Apparel,W4,West DC,Global Parts Co,18,13.576923076923077,7.882336057252127,55.0,299.0
P010,Blender,Tools,W2,South DC,Meridian Wholesale,17,14.24,8.3239511810982,57.0,299.0
P011,A4 Notebook Pack,Electronics,W2,South DC,Harbor & Co,18,13.426229508196721,7.969648709099296,56.0,298.0
P004,LED Desk Lamp,Apparel,W4,West DC,Harbor & Co,19,12.75925925925926,7.804051161755027,56.0,298.0
P014,Desk Organizer,Apparel,W3,East DC,Global Parts Co,18,13.375,7.94026903451171,56.0,297.0
P025,Screwdriver Set,Tools,W3,East DC,Harbor & Co,18,13.923076923076923,6.4833002786983975,45.0,296.0
P017,Denim Jacket,Home & Kitchen,W1,North DC,Silverline Distributors,17,14.148148148148149,8.085410591334753,55.0,296.0
P011,A4 Notebook Pack,Electronics,W3,East DC,Harbor & Co,18,13.564516129032258,7.376571169659184,52.0,296.0
P007,Non-Stick Frying Pan,Home & Kitchen,W1,North DC,Meridian Wholesale,18,13.016949152542374,8.726676353974927,61.0,295.0
P010,Blender,Tools,W4,West DC,Meridian Wholesale,17,13.976190476190476,7.955633363016194,54.0,292.0
P012,Gel Pens (12-pack),Home & Kitchen,W3,East DC,Pacific Sourcing Ltd,19,12.526315789473685,7.471625523935524,54.0,292.0
P007,Non-Stick Frying Pan,Home & Kitchen,W3,East DC,Meridian Wholesale,18,12.959183673469388,8.261252890435438,58.0,291.0
